T0020_nFK;T2040_nFK;T4060_nFK;Tmean_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;niederschlag_mm_sum;wasser_input_Vortag;T0020_nFK_Vortag;T2040_nFK_Vortag;T4060_nFK_Vortag;tage_seit_aussaat;Tmean_th9_25_gradC;ibi;irmi
94.2125;96.5;98.4075;12.48;7.1;19.3;67.43;33.7;91.4;6808.8;1.59;0;8;91.955;97.265;98.4775;10;12.48;0.180077196496411;10.7382807517789
98.6225;96.765;98.32;13.51;4.3;20.9;62.18;36.3;92.7;7209.45;0.89;0;0;94.2125;96.5;98.4075;11;13.51;0.199431198867034;10.9177425575218
104.2925;96.9875;98.3;13.8;6.8;20.6;63.02;34.5;88.9;4472.5;1.52;0;7.3;98.6225;96.765;98.32;12;13.8;0.229918592678776;11.1628800468984
105.3975;96.695;97.9675;10.59;9.5;12;75.34;65.4;82.9;2086.1;1.69;2.1;0;104.2925;96.9875;98.3;13;10.59;0.273814067273795;11.4724497160902
104.2;96.995;98.1725;12.92;9.1;17.4;66.27;54.4;76.7;4257.5;1.24;0;2.1;105.3975;96.695;97.9675;14;12.92;0.333342100957281;11.8412549138749
101.46;97.5375;98.4325;14.99;9;21.1;63.02;41.2;83.4;6179.88;1.2;0;0;104.2;96.995;98.1725;15;14.99;0.410541580628755;12.2600867082969
106.9225;97.8675;98.935;16.95;13;22.4;56.63;44.5;68.9;5334.38;1.83;0;7.3;101.46;97.5375;98.4325;16;16.95;0.507057211856208;12.7156731425091
105.4125;97.5875;98.21;16.3;12.7;21.3;58.05;46.3;71;5311.52;1.7;0.1;0;106.9225;97.8675;98.935;17;16.3;0.623847605352272;13.1906373935508
101.665;97.8275;98.475;14.57;10.7;17.6;62.47;49.6;79.6;2592.43;0.9;0.7;0.1;105.4125;97.5875;98.21;18;14.57;0.760813101575999;13.6634652725085
98.5675;97.345;98.195;15.92;9.4;22.6;55.86;33.7;84.4;6692.15;1.22;0;0.7;101.665;97.8275;98.475;19;15.92;0.916364695663722;14.108482420166
101.3825;97.4175;98.305;16.47;6.5;23.7;59.98;36.9;91.4;6765.35;1.03;0;8.45;98.5675;97.345;98.195;20;16.47;1.09288710863674;14.5536889788368
103.5925;97.17;97.73;16.75;11.6;22.2;69.17;48.2;92.6;4531.27;1.52;4.3;0;101.3825;97.4175;98.305;21;16.75;1.28911048647209;14.9980493661684
102.61;97.315;98.055;17.5;10;25.4;64.69;36.8;90.8;7414.42;0.96;0;4.3;103.5925;97.17;97.73;22;17.5;1.50247734281784;15.4405646361627
104.2225;97.52;98.22;18.34;9.2;26.7;64.43;37.4;93.2;5806.4;0.82;0;4.075;102.61;97.315;98.055;23;18.34;1.7291881351316;15.8802405161541
101.9075;97.64;98.57;21.24;12.3;29.1;56.06;28.8;88.2;7447.42;1.74;0;0;104.2225;97.52;98.22;24;21.24;1.96439198395317;16.3161064483575
94.845;97.2175;97.985;19.68;13.3;24.5;53.55;35.7;78.8;7060.85;1.55;0;0;101.9075;97.64;98.57;25;19.68;2.20254064899656;16.7472180322889
85.365;96.11;97.79;16.55;9;22.8;56.55;34.6;87.1;7393.15;1.43;0;0;94.845;97.2175;97.985;26;16.55;2.4394103345952;17.254679935097
76.775;94.9075;97.67;17.78;9.4;26.3;55.98;28.3;87.4;7655.75;0.97;0;0;85.365;96.11;97.79;27;17.78;2.66869818446147;17.687187110873
75.8825;93.42;97.2575;19.09;9.4;26.8;54.7;30.6;86.3;7335.95;1.16;0;15.55;76.775;94.9075;97.67;28;19.09;2.88266712686104;18.0536977976191
84.8575;92.135;96.8275;18.31;12.5;25.8;70.42;49.2;91.3;4293;1.1;9.2;0;75.8825;93.42;97.2575;29;18.31;3.07600528287844;18.3638610125597
88.0825;91.3875;96.3025;19.87;11.7;27.1;66.81;39.5;95.9;7200.9;0.78;0;9.2;84.8575;92.135;96.8275;30;19.87;3.2457621319286;18.627941769073
77.84;90.875;95.805;22.05;12.8;29.6;60.35;33.1;92.2;7487.3;0.95;0;0;88.0825;91.3875;96.3025;31;22.05;3.39114869353673;18.8567386746674
62.6375;89.5225;95.53;21.1;13.9;30.7;69.88;42.8;91.8;5806.5;1.13;4.3;0;77.84;90.875;95.805;32;21.1;3.51385829078102;19.0640089684907
57.245;87.3525;94.975;20.74;15.8;27.4;76.75;51.1;95.3;5101.18;1.46;6.2;4.3;62.6375;89.5225;95.53;33;20.74;3.61743723655368;19.265534808623
